code,X,Y
32,17197,61616
957,19200,57700
328,14942,52264
1149,16892,62725
837,19742,68544
711,19154,64420
817,17138,62880
969,19320,57690
3658,21678,65658
1175,22974,52377
1765,18000,58700
530,23790,74910
156,17816,64704
511,22478,73587
687,19523,72612
546,23768,76064
273,26017,74320
2042,23659,59562
436,23935,72912
1240,14689,57689
74,19870,73396
167,19454,69912
289,20936,75650
383,24738,70851
367,20822,72605
270,20968,72240
676,14306,58468
157,19378,68568
4503,27468,77807
1320,20025,73302
1053,22457,52443
89,23699,71883
82,23702,71825
806,22268,50755
813,22179,76826
1056,21458,63172
426,19589,73142
532,23337,73645
521,21144,63339
223,20116,70996
622,17351,62270
4502,26859,79361
514,21098,63306
139,20091,70774
880,19412,68670
1251,23451,53915
871,19435,66554
1187,22296,52382
7600,20822,75924
1146,15376,59579
3765,22534,66438
3727,20636,66418
688,24704,77293
3715,22805,63753
1212,24939,76704
779,21350,62877
385,25092,75925
318,14406,57325
773,20221,71878
319,25824,78703
3660,21308,67423
1824,24740,70920
1825,0,0
1806,25780,78330
1807,25800,77650
1808,0,0
1875,22890,73170
1826,23680,71640
1827,0,0
1834,21850,72150
1832,22680,71730
1833,22440,72700
708,21548,76490
3712,21210,68786
534,20639,73585
7700,22867,72477
3617,22528,65100
3778,20454,66960
917,22391,75235
531,23196,75076
1246,22144,77704
1335,22744,75482
2560,22035,57414
593,17851,62692
637,20873,71171
1192,20219,56302
591,17617,63696
53,19490,73297
3748,20283,59417
1151,21475,47486
1961,,
1763,16145,60282
3768,20507,66315
750,16298,58183
838,18900,64062
537,19581,72264
1104,25153,73615
1105,25065,73889
1313,25154,73737
767,19551,68699
749,15810,58190
1185,22217,75987
597,17235,64904
3723,21574,59934
3659,22137,64511
535,22929,77259
2059,17084,59426
3615,24257,66123
536,23088,76423
281,23053,76541
7800,19794,70872
171,19182,69027
599,24086,75971
2053,22944,71684
1231,13849,57031
7900,18941,66579
839,18929,64165
413,15556,56824
1180,23135,75499
1213,23924,77007
465,21140,63231
1136,14526,57190
1111,17536,64043
3791,20110,67829
198,19269,67776
1150,21721,49661
1102,18693,69644
1262,21579,48903
1113,20912,62495
1345,20006,68306
276,19205,68938
1148,20143,68303
774,22967,76797
1221,22399,75642
613,22639,73900
796,19358,63467
636,23062,71428
594,18650,65672
1079,19474,61865
8000,24751,76334
612,19542,72826
567,19716,63005
1234,21600,57200
334,17357,63594
3557,21528,68054
195,19258,68737
392,17874,62323
4025,26557,77064
3781,22956,62907
615,18081,63592
1211,24470,75593
964,21100,57800
972,20200,58100
766,17453,61889
1179,22392,74992
1052,20562,43123
1167,19157,71263
414,16940,59538
3601,24434,62873
638,19807,68825
4024,26481,78199
1243,21004,71022
1347,19824,55466
4100,26464,76651
2620,18665,66310
3611,21125,60480
6800,21040,74553
9500,20872,74934
2630,17774,61305
1768,16179,58047
2300,21215,73567
9600,20704,75044
1137,20974,63456
2039,20996,63543
8200,20777,74897
1034,17601,62673
3746,21077,66926
78,21143,63530
469,18336,64101
412,18713,68234
2800,25383,79074
1766,16131,59333
1746,19185,65511
3640,20887,67523
4006,27592,76515
543,23465,76038
1334,23517,75772
990,21479,74196
2640,19606,66694
26,25105,76383
3602,21178,61948
8300,18126,65292
3795,21227,66947
564,18265,63130
354,17344,55040
1225,24378,75070
390,20963,76474
444,20349,71443
1161,17661,58902
2051,17477,61753
2016,24473,70610
1341,17446,54349
362,17203,60070
539,22943,74367
997,22881,74260
3619,24572,68388
3782,24758,69142
854,24628,70633
8400,18193,64437
3822,22442,66765
540,24588,77273
3568,21302,70838
542,22953,73625
3565,23236,64896
616,19336,66125
922,20975,73971
1069,22464,71474
4702,26271,75073
206,18914,67473
735,18649,64238
445,20558,72256
372,25202,77853
8500,18748,64840
8600,18354,66403
135,21923,73152
184,19435,68047
335,20910,72404
2650,18519,67184
178,21172,74429
122,21580,73427
1828,24970,72050
1829,24270,72230
1830,23620,72710
1831,0,0
4701,27595,75016
1837,20930,72110
1838,0,0
339,23917,72189
460,20702,63124
127,22077,62746
789,16207,58303
713,14858,58842
8700,18793,67696
1228,22505,75116
247,18362,67862
437,24507,70975
1260,17032,55150
324,26068,79240
282,20814,76512
3571,21758,68554
913,23799,73292
1286,18465,56745
721,23997,73940
304,24854,70519
861,25308,77233
885,18012,53147
36,17000,60943
284,19105,67936
293,16944,61708
142,21352,73371
2008,19959,70125
18,18124,61328
259,24541,71477
329,25854,78807
1058,14465,57122
739,16955,62943
2049,17267,59530
327,19014,71092
27,19254,62543
1223,13671,56925
2015,19481,67405
2057,24593,70515
555,17561,63778
306,24117,73355
3578,25069,69451
1031,16152,60411
741,20748,63395
761,15668,59574
394,17567,59141
1304,19491,65610
614,22685,77644
1265,18896,59340
415,15482,59242
456,20628,63383
1235,22454,75533
224,18675,69563
527,23332,75981
7,17398,61424
1266,19962,42397
865,16268,58946
1267,20131,45398
658,21417,76648
3641,22852,66211
1165,20200,64728
1160,22343,75043
873,17793,60802
1373,17461,52689
439,24543,70851
812,21425,77563
1364,13365,56434
1793,24675,66743
366,26197,78571
3784,20120,58846
432,20917,76180
1337,22341,73758
1287,20665,58490
1132,26356,79411
538,22263,75498
4009,26740,78025
856,19857,64198
661,19992,68839
264,25690,73256
237,21083,73649
921,20161,70594
3720,20261,66998
232,18359,68047
692,17435,62283
1803,19390,62680
1804,0,0
846,24112,76098
8800,21639,74570
3649,21609,70887
1233,19395,60256
292,24401,73687
1114,19390,62058
126,22146,72985
398,16225,59044
1045,22970,77667
763,17011,63134
2062,16606,58680
2061,16473,58760
1172,22328,75940
3558,24190,65821
1083,15632,59362
163,17719,62485
10,18928,62872
5000,,
1707,25429,79342
84,23778,71801
287,18782,68441
154,19248,68443
103,22864,72908
719,25820,73457
1054,18669,57304
1283,24681,70544
3719,20298,60803
1051,14557,57108
2003,19812,70578
2050,16632,59413
1237,13917,56805
727,17761,62904
744,16338,61413
814,16890,60812
1244,22140,73433
2002,19668,69020
752,19769,63427
1744,19579,67601
1741,19276,68691
1750,16900,63621
1742,19557,66429
1754,17682,63114
1794,20054,58682
1749,18624,65229
1755,17993,62953
1792,21700,70886
1714,24371,74348
709,16936,58163
665,16003,59560
3563,22181,61776
970,18300,56400
1346,17526,58369
778,19836,63227
